,date,description,short_desc
43,2019-01-03,"The Democrats take control of the House of Representatives, with a promise to end the government shutdown, but without funding for President Donald Trump's proposed border wall. The Republicans increase their control of the United States Senate.",Democrats in majority in the House of Representatives
44,2019-01-01,start of the 2020 presidential campaign,2020 presidential campaign starts
45,2019-01-28,"The Justice Department charges Chinese tech firm Huawei with multiple counts of fraud, raising U.S.China tensions.",Huawei accused of fraud
46,2019-03-22,Special Counsel Robert Mueller turns in the report of his nearly two-year investigation on whether the Trump campaign helped Russia interfere in the 2016 presidential election.,Mueller investigation given to Congress
47,2019-04-18,A redacted version of the final Mueller Report is released by Attorney General William Barr to Congress and the general public. The report goes into detail on findings from the 2017-2019 Special Counsel probe regarding Russian contacts with the 2016 Donald Trump election campaign and matters regarding obstruction of justice by President Trump himself.,Redacted version of Mueller Report made available to the public
48,2019-07-06,Billionaire financier and registered sex offender Jeffrey Epstein is arrested on federal charges of sex trafficking and additionally charged by the Southern District of New York with sex trafficking and with conspiracy to traffic minors in Florida and New York.,Jeffrey Epstein arrested
49,2019-08-03,"El Paso shooting: A mass shooting occurs at a Walmart near the Cielo Vista Mall in El Paso, Texas, resulting in 23 fatalities and 23 injured.",El Paso shooting
50,2019-08-12,"The Trump administration issues new rules that reject applicants for temporary or permanent visas for failing to meet income standards or for receiving public assistance such as welfare, food stamps, public housing or Medicaid.",New rules for visa applications
51,2019-09-24,Speaker of the House Nancy Pelosi announces the start of a formal impeachment inquiry against President Trump.,Start of impeachment inquiry against Pres. D. Trump
52,2019-10-03,President Trump calls on Ukraine and China to investigate former Vice President Joe Biden and his son Hunter Biden.,Trump asks other countries to investigate J. Biden
53,2019-12-01,The White House announces that President Donald Trump will not participate in the House Judiciary Committee impeachment hearing on December 3.,D. Trump refuses to appear for to his impeachment hearing
54,2019-12-03,The House Intelligence Committee releases a report accusing President Donald Trump of using his office to further his personal interests.,Allegations of abuse of power from D. Trump
55,2019-12-06,The House of Representatives approves 228-187 to restore parts of the Voting Rights Act of 1965. President Trump threatens to veto if the bill is approved by the Senate.,House of Representatives opposes Trump administration
56,2019-12-10,"Democrats in the House of Representatives announce formal charges against President Trump that accuse him of abusing power and obstructing Congress, making him the fourth U.S. president in history to face impeachment.",Democrats accuse Trump of abusing power
57,2019-12-18,"The U.S. House of Representatives votes largely along party lines to forward two articles of impeachment against President Donald Trump to the Senate, accusing him of abuse of power and obstructing Congress. Donald Trump becomes the third U.S. president to be impeached by the House.",Democrats continue impeachment procedure
58,2020-01-03,"2019–2021 Persian Gulf crisis: President Donald Trump approves the targeted killing of Iranian general Qasem Soleimani and Iraqi paramilitary leader Abu Mahdi al-Muhandis in Baghdad, Iraq.",Murder of Iranian general Qasem Soleimani
59,2020-01-09,Persian Gulf crisis: The House of Representatives votes 224–194 to pass a non-binding War Powers Resolution to limit the president's ability to pursue military actions against Iran without congressional consent.,House of Representatives limits Pres. power to start war
60,2020-01-14,"The seventh Democratic presidential debate is held in Des Moines, Iowa. Six candidates participate.",Seventh Democratic debate
61,2020-01-16,The impeachment trial of President Donald Trump begins in the U.S. Senate.,First impeachment trial begins
62,2020-01-21,COVID-19 pandemic: The first case of COVID-19 in the United States is confirmed by the Centers for Disease Control and Prevention (CDC).,First case of COVID-19 discovered in the US
63,2020-02-05,The impeachment trial of President Donald Trump concludes with the Senate voting 52–48 to acquit on the first article of impeachment and 53–47 on the second charge. Utah Senator Mitt Romney becomes the first ever senator to vote to remove a president of their own political party.,Trumps acquitted
64,2020-04-22,COVID-19 pandemic: President Trump signs an immigration executive order halting the issuance of certain green cards for 60 days.,Harder immigration policy
65,2020-05-25,"Minneapolis police officer Derek Chauvin murders George Floyd, 46, by kneeling on his neck, as three other officers watch. Video of the incident goes viral and the four officers are subsequently fired.",Start of George Floyd protests
66,2020-09-26,President Trump nominates Seventh Circuit Court of Appeals Judge Amy Coney Barrett to fill the vacant Supreme Court seat following the death of Judge Ruth Bader Ginsburg.,Trump nominates new Federal judge
67,2020-11-03,presidential election,2020 president election
68,2020-11-04,The United States formally withdraws from the Paris Agreement.,US officially withdraw from Paris Agreement
69,2020-11-07,Joe biden won the election,Joe Biden victory
