,date,description,short_desc
0,2015-03-25,"Indiana Governor Mike Pence signs Indiana SB 101 into law, prompting a national debate over religious freedom and LGBT rights. After a week of public outcry, the law is modified and similar bills in Arkansas, North Carolina, Georgia, and North Dakota fail to pass their state legislatures.",LGBT debate
1,2015-04-11," President Barack Obama and Cuban President Raúl Castro discuss historic proposed normalizations to Cuba-United States relations at the 7th Summit of the Americas in Panama City, Panama.",US-Cuba relations start again
2,2015-04-01,start of the 2016 presidential campaign,2016 presidential campaign
3,2015-04-25," Protests in Baltimore, Maryland from Baltimore City Hall to the Inner Harbor against the April 19 death of Freddie Gray in police custody soon turn violent, with extensive property damage, looting, numerous arrests, and injuries of both police officers and citizens being reported. Maryland Governor Larry Hogan declares a state of emergency in the city and deploys the Maryland National Guard in response.",Baltimore protests
4,2015-05-22," The State Department begins publishing the e-mails of Hillary Clinton, mostly concerning the 2012 Benghazi attack, that drew controversy earlier in the year when it was revealed that Clinton had been using a private e-mail server for work-related communications during her time as Secretary of State.",H. Clinton email's controversy
5,2015-06-26," In a 5, 4 decision, the U.S. Supreme Court rules that the Constitution guarantees a right to same-sex marriage in the United States. Justice Anthony Kennedy wrote the majority opinion, joined by Justices Ruth Bader Ginsburg, Stephen Breyer, Sonia Sotomayor and Elena Kagan.",Same-sex marriage supreme court rule
6,2015-10-01,"26-year-old Christopher Harper-Mercer opens fire at Umpqua Community College in Roseburg, Oregon. killing 9 people and injuring 9 others. It is the largest shooting at a college since the Virginia Tech massacre in 2007.",Umpqua Community College shooting
7,2015-10-29, Representative Paul Ryan takes over for John Boehner as Speaker of the House of Representatives after being elected following Boehner's resignation.,Paul Ryan (rep.) elected Speaker of the House of Representatives
8,2015-12-02,"2015 San Bernardino attack: 14 people are killed in a terrorist attack at a facility for the mentally disabled in San Bernardino, California. It is the deadliest mass shooting in the United States in 2015, and the deadliest since 2012.",San Bernardino shooting
9,2016-02-09," The New Hampshire primaries are held. Donald Trump wins the Republican primary, and Bernie Sanders wins the Democratic primary.",New Hampshire primaries won by D. Trump
10,2016-03-01, Super Tuesday,Super Tuesday
11,2016-03-16, President Obama nominates Merrick Garland to replace Antonin Scalia on the Supreme Court.,Merrick Garland Supreme Court nomination
12,2016-05-04," John Kasich suspends his presidential campaign, leaving Donald Trump the presumptive Republican nominee.",D. Trump is last rep. nominee
13,2016-05-25," An audit by the State Department Inspector General finds that Hillary Clinton violated directives from the department in her use of a private email server for government business during her time as Secretary of State. The Inspector General says that Clinton did not request approval to use the private server, and that such a request would have been denied because of security risks.",Investigation against H. Clinton over private email use
14,2016-06-12,Orlando shooting,Orlando shooting
15,2016-06-22,"Members of the House Democratic Caucus, led by Representative John Lewis (D-Georgia) and Representative Katherine Clark (D-Massachusetts) declare their intention to remain on the floor of the House of Representatives until its Republican Speaker, Paul Ryan, allows votes on gun control legislation in the aftermath of the Orlando nightclub shooting. The sit-in is staged by about 60 legislators.",Democrat Representatives protest in House of Representatives
16,2016-07-08," Despite the conclusions of the FBI and attorney general, the State Department reopens its investigation into Hillary Clinton's use of a private email server.",FBI reopens investigation on H. Clinton
17,2016-09-21, Charlotte protests,Charlotte protests
18,2016-09-26," Presidential candidates Donald Trump and Hillary Clinton take part in their first live televised debate, with an estimated audience of up to 100 million viewers.",Presidential debate betwenn D. Trump and H. Clinton
19,2016-11-08, 2016 presidential Election,2016 Presidential Election
20,2016-12-02,"Donald Trump becomes the first US president or president-elect since 1979 to make direct contact with the President of Taiwan, upsetting Chinese diplomats and sparking concern over whether Trump will uphold the ""One China policy"" at the foundation of China-U.S. relations.",D. Trump visits Taiwan
21,2016-12-31," United States troops withdraw from Afghanistan, leaving behind 8,400 troops stationed at 4 garrisons (Kabul, Kandahar, Bagram, and Jalalabad).",US troosp withdraw from Afghanistan
22,2017-01-06," After briefing President Barack Obama, the United States Senate, and President-elect Donald Trump, the United States Intelligence Community releases a declassified version of its investigation into Russia's interference in the 2016 presidential election. The report asserts that Russia carried out a massive cyber operation on orders from President Vladimir Putin to influence the election in favor of Trump in a multipronged attack consisting of hacking the Democratic National Committee, use of social media and Internet trolls to spread misinformation, and open propaganda on Russian state media outlets. Trump asserts that the outcome of the election was not affected by the interference, but nonetheless announces his intention to appoint a team to combat international cyber attacks within his first 90 days in office.",Allegations of russian interference in presidential election
23,2017-01-20," Donald Trump is sworn in as the 45th President of the United States, and Mike Pence is sworn in as Vice President of the United States.",D. Trump sworn as President
24,2017-05-01," FBI chief James Comey is fired by Trump for mishandling of the Hillary Clinton email controversy. However, critics accuse Trump of attempting to subvert the ongoing FBI investigation into possible ties between Russia and the Trump campaign.",FBI chief James Comey fired
25,2017-06-17,Charleston church shooting,Charleston church shooting
26,2017-07-18,The US Senate votes to start debating a new Republican healthcare bill to replace Obamacare.,Senate votes on new Republican healthcare bill
27,2017-09-05," The Trump administration announces that the Deferred Action for Childhood Arrivals (DACA) immigration policy, which was set by the Obama administration in 2012, will be scrapped.",New immigration policy bill by Trump administration
28,2017-10-01, Las Vegas mass shooting,Las Vegas mass shooting
29,2017-12-02, San Bernardino shooting,San Bernardino shooting
30,2017-12-06," In a speech at the White House, President Trump announces that the US now recognizes Jerusalem as Israel's capital.",US recognire Jerusalem as Israel's capital
31,2018-01-11,"""Shitholegate"" During a meeting with lawmakers about immigration, President Trump is reported to have asked, ""Why are we having all these people from shithole countries come here?"" His remarks are condemned as ""racist"" and ""shocking"" by a UN spokesman. (comp. Donald Trump racial views) The government of Botswana demands a clarification, and Ambassador Earl R. Miller is asked if the USDS regards Botswana as a ""shithole"" country.",Shitholegate
32,2018-01-20,Senate Democrats block a bill that would have kept the government running until mid-February and the government shutdown of January 2018 begins. ,Government shutdown
33,2018-02-14," Marjory Stoneman Douglas High School in Parkland, Florida mass shooting",Marjory Stoneman Douglas High School shooting
34,2018-03-22,President Trump announces tariffs on up to $60bn in Chinese goods and plans to limit the country's investment in the US. The Dow Jones falls sharply in response.,Tariffs against China
35,2018-06-18,"70 former U.S. Attorneys deliver a letter to Jeff Sessions, urging that he end his ""dangerous, expensive, zero tolerance"" migrant policy, which separates children at the border, calling it ""inconsistent with the values of the institution in which we served.""",Opposition to new migration policy
36,2018-06-19,The United States announces that it will withdraw from the United Nations Human Rights Council.,Announcement of US withdrawal from UNHCR
37,2018-08-01,"President Trump calls for the Russia investigation to end ""right now"", urging Attorney General Jeff Sessions to halt the inquiry into alleged election meddling, while accusing special counsel Robert Mueller of being ""totally conflicted"".",Trump opposed to russian interference investigation
38,2018-10-02,"The Washington Post journalist Jamal Khashoggi is murdered inside the Saudi consulate in Istanbul, triggering a diplomatic crisis between the U.S. and Saudi Arabia.",Murder of Jamal Kashoggi
39,2018-10-20,"President Trump announces that the US will ""terminate"" the Intermediate-Range Nuclear Forces Treaty over alleged Russian violations.",US withdrawal of IRNFT treaty
40,2018-10-29,"Migrant caravan. 800 U.S. soldiers are deployed to the Mexico–United States border as a part of Operation Faithful Patriot, reinforcing the border against incoming Central American migrant caravans.",US troops deployed to stop migrant caravans
41,2018-11-06,Midterm elections,Midterm elections
42,2018-12-13,"In a rare rebuke to the White House, the Senate votes 56–41 to end US military assistance to Saudi Arabia's intervention in Yemen over alleged war crimes. It passes a separate resolution that holds Saudi Crown Prince Mohammed bin Salman personally responsible for the death of Saudi dissident Jamal Kashoggi.",US stops military assistance to Saudi Arabia
