Name Party
"Mark Green" Republican True
"Pete Stauber" Republican True
"Derek Kilmer" Democratic True
"Andy Harris" Republican True
"Donald Payne" Democratic True
"A. Ferguson" Republican True
"Richard Hudson" Republican True
"Edward Markey" Democratic True
"Bobby Rush" Democratic True
"Gregory Meeks" Democratic True
"Bill Huizenga" Republican True
"James Risch" Republican True
"David Schweikert" Republican True
"Kelly Armstrong" Republican True
"Robin Kelly" Democratic True
"Kathleen Rice" Democratic True
"Steve Chabot" Republican True
"James Comer" Republican True
"Suzanne Bonamici" Democratic True
"Michael Turner" Republican True
"Josh Harder" Democratic True
"Mark Pocan" Democratic True
"Charles Fleischmann" Republican True
"Steve Daines" Republican True
"Steve Stivers" Republican True
"John Garamendi" Democratic True
"Bill Cassidy" Republican True
"Scott Perry" Republican True
"Andy Levin" Democratic True
"David Rouzer" Republican True
"Stephen Lynch" Democratic True
"Daniel Webster" Republican True
"Trent Kelly" Republican True
"Janice Schakowsky" Democratic True
"Terri Sewell" Democratic True
"Susan Collins" Republican True
"Michael Simpson" Republican True
"Xochitl Torres Small" Democratic True
"Dan Crenshaw" Republican True
"Jimmy Panetta" Democratic True
"Steve Womack" Republican True
"Tom O’Halleran" Democratic True
"Anthony Brown" Democratic True
"David Joyce" Republican True
"Rashida Tlaib" Democratic True
"Nanette Barragán" Democratic True
"Dean Phillips" Democratic True
"Kelly Loeffler" Republican True
"Mike Quigley" Democratic True
"Russ Fulcher" Republican True
"Guy Reschenthaler" Republican True
"Jodey Arrington" Republican True
"Debbie Wasserman Schultz" Democratic True
"Pete Aguilar" Democratic True
"Gilbert Cisneros" Democratic True
"Gary Peters" Democratic True
"David Kustoff" Republican True
"C. Ruppersberger" Democratic True
"Mike Rounds" Republican True
"Mike Levin" Democratic True
"Rodney Davis" Republican True
"Gary Palmer" Republican True
"Tom Rice" Republican True
"Filemon Vela" Democratic True
"Gerald Connolly" Democratic True
"Susan Wild" Democratic True
"Tim Ryan" Democratic True
"Tom McClintock" Republican True
"David Perdue" Republican True
"Brendan Boyle" Democratic True
"Ben Cline" Republican True
"Brian Higgins" Democratic True
"Kathy Castor" Democratic True
"Mikie Sherrill" Democratic True
"Ross Spano" Republican True
"Devin Nunes" Republican True
"Neal Dunn" Republican True
"Scott Tipton" Republican True
"Bradley Schneider" Democratic True
"Karen Bass" Democratic True
"Lloyd Smucker" Republican True
"Garland Barr" Republican True
"Billy Long" Republican True
"John Carter" Republican True
"Robert Scott" Democratic True
"Harold Rogers" Republican True
"Haley Stevens" Democratic True
"Dusty Johnson" Republican True
"James Langevin" Democratic True
"Robert Aderholt" Republican True
"Brad Sherman" Democratic True
"Bob Gibbs" Republican True
"Charlie Crist" Democratic True
"Debbie Mucarsel-Powell" Democratic True
"Cheri Bustos" Democratic True
"Dan Bishop" Republican True
"Peter DeFazio" Democratic True
"Daniel Meuser" Republican True
"John Cornyn" Republican True
"John Curtis" Republican True
"Liz Cheney" Republican True
"William Timmons" Republican True
"Jennifer Wexton" Democratic True
"Steve Knight" Republican True
"Patrick McHenry" Republican True
"Jay Obernolte" Republican True
"Alcee Hastings" Democratic True
"Chip Roy" Republican True
"Elise Stefanik" Republican True
"Anthony Gonzalez" Republican True
"Ann Kirkpatrick" Democratic True
"Madeleine Dean" Democratic True
"Nancy Pelosi" Democratic True
"Adam Schiff" Democratic True
"Pramila Jayapal" Democratic True
"Kurt Schrader" Democratic True
"Kevin McCarthy" Republican True
"Steve Cohen" Democratic True
"Debbie Dingell" Democratic True
"Stephanie Murphy" Democratic True
"William Keating" Democratic True
"Anna Eshoo" Democratic True
"Paul Tonko" Democratic True
"Veronica Escobar" Democratic True
"Tom Malinowski" Democratic True
"Joe Wilson" Republican True
"Doug Lamborn" Republican True
"Marcia Fudge" Democratic True
"Tom Cotton" Republican True
"Hakeem Jeffries" Democratic True
"Eliot Engel" Democratic True
"Josh Gottheimer" Democratic True
"Clay Higgins" Republican True
"Ami Bera" Democratic True
"Debra Haaland" Democratic True
"John Reed" Democratic True
"Debbie Lesko" Republican True
"Scott Peters" Democratic True
"Dan Sullivan" Republican True
"Tom Reed" Republican True
"Fred Keller" Republican True
"James McGovern" Democratic True
"A. McEachin" Democratic True
"Carolyn Maloney" Democratic True
"Bryan Steil" Republican True
"Thom Tillis" Republican True
"Devin Nunes" Republican True
"Earl Carter" Republican True
"Lucy McBath" Democratic True
"Mark Takano" Democratic True
"TJ Cox" Democratic True
"Mary Scanlon" Democratic True
"Gwen Moore" Democratic True
"Chrissy Houlahan" Democratic True
"Chellie Pingree" Democratic True
"Val Demings" Democratic True
"Raúl Grijalva" Democratic True
"Mike Rogers" Republican True
"Sylvia Garcia" Democratic True
"Adam Smith" Democratic True
"Lee Zeldin" Republican True
"Bill Posey" Republican True
"Steven Palazzo" Republican True
"Jeanne Shaheen" Democratic True
"Lizzie Fletcher" Democratic True
"Lloyd Doggett" Democratic True
"Kevin Brady" Republican True
"Abigail Spanberger" Democratic True
"Lucille Roybal-Allard" Democratic True
"Earl Blumenauer" Democratic True
"Tina Smith" Democratic True
"Peter Welch" Democratic True
"Jeff Duncan" Republican True
"Suzan DelBene" Democratic True
"Kim Schrier" Democratic True
"Betty McCollum" Democratic True
"Ralph Norman" Republican True
"Richard Durbin" Democratic True
"Jason Crow" Democratic True
"Juan Vargas" Democratic True
"Don Bacon" Republican True
"Henry Cuellar" Democratic True
"Jody Hice" Republican True
"Glenn Thompson" Republican True
"Carolyn Maloney" Democratic True
"Grace Meng" Democratic True
"Cynthia Axne" Democratic True
"Tim Burchett" Republican True
"Ken Buck" Republican True
"Michael Doyle" Democratic True
"Lisa Blunt Rochester" Democratic True
"Mike Johnson" Republican True
"Chris Stewart" Republican True
"Brad Wenstrup" Republican True
"Markwayne Mullin" Republican True
"David McKinley" Republican True
"Jimmy Gomez" Democratic True
"Chris Pappas" Democratic True
"John Moolenaar" Republican True
"Sanford Bishop" Democratic True
"Jared Huffman" Democratic True
"Jamie Raskin" Democratic True
"Mike Gallagher" Republican True
"Thomas Suozzi" Democratic True
"Larry Bucshon" Republican True
"Jerry McNerney" Democratic True
"Shelley Capito" Republican True
"Fred Upton" Republican True
"Sheila Jackson Lee" Democratic True
"Barry Loudermilk" Republican True
"Alan Lowenthal" Democratic True
"Richard Neal" Democratic True
"Mark DeSaulnier" Democratic True
"Tim Walberg" Republican True
"Bill Johnson" Republican True
"H. Griffith" Republican True
"Joseph Morelle" Democratic True
"Bradley Byrne" Republican True
"Cedric Richmond" Democratic True
"Ken Calvert" Republican True
"J. Correa" Democratic True
"Tony Cárdenas" Democratic True
"Jim Cooper" Democratic True
"John Sarbanes" Democratic True
"Eric Crawford" Republican True
"Elissa Slotkin" Democratic True
"Emanuel Cleaver" Democratic True
"Bill Foster" Democratic True
"Katie Porter" Democratic True
"Bill Cassidy" Republican True
"Ron Wright" Republican True
"Raul Ruiz" Democratic True
"Adrian Smith" Republican True
"John Lewis" Democratic True
"Salud Carbajal" Democratic True
"Kevin McCarthy" Republican True
"Alma Adams" Democratic True
"Garret Graves" Republican True
"Brian Babin" Republican True
"Mark Warner" Democratic True
"Marcia Fudge" Democratic True
"Seth Moulton" Democratic True
"Daniel Lipinski" Democratic True
"Ed Perlmutter" Democratic True
"Ilhan Omar" Democratic True
"Lori Trahan" Democratic True
"Darrell Issa" Republican True
"Steny Hoyer" Democratic True
"Cory Booker" Democratic True
"Warren Davidson" Republican True
"Yvette Clarke" Democratic True
"Alexander Mooney" Republican True
"Christopher Coons" Democratic True
"John Rose" Republican True
"Brett Guthrie" Republican True
"Ted Lieu" Democratic True
"Jim Jordan" Republican True
"Henry Johnson" Democratic True
"Kay Granger" Republican True
"Adriano Espaillat" Democratic True
"Eric Swalwell" Democratic True
"Brenda Lawrence" Democratic True
"Rick Larsen" Democratic True
"Jack Bergman" Republican True
"Vicente Gonzalez" Democratic True
"Alexandria Ocasio-Cortez" Democratic True
"John Joyce" Republican True
"Dina Titus" Democratic True
"Sharice Davids" Democratic True
"James Inhofe" Republican True
"Richard Durbin" Democratic True
"James Himes" Democratic True
"Elaine Luria" Democratic True
"Sam Graves" Republican True
"Tom Emmer" Republican True
"Steven Palazzo" Republican True
"Jerrold Nadler" Democratic True
"Jeff Merkley" Democratic True
"Donald Norcross" Democratic True
"Blaine Luetkemeyer" Republican True
"David Scott" Democratic True
"Scott DesJarlais" Republican True
"Donald Beyer" Democratic True
"David Price" Democratic True
"Ted Budd" Republican True
"Linda Sánchez" Democratic True
"Michael Cloud" Republican True
"Kevin Hern" Republican True
"Raja Krishnamoorthi" Democratic True
"Sean Casten" Democratic True
"Brendan Boyle" Democratic True
"Paul Gosar" Republican True
"Harley Rouda" Democratic True
"Katherine Clark" Democratic True
"Joaquin Castro" Democratic True
"James Baird" Republican True
"Steve Scalise" Republican True
"Cory Booker" Democratic True
"Colin Allred" Democratic True
"Jesús García" Democratic True
"Robert Latta" Republican True
"Angie Craig" Democratic True
"Ann Wagner" Republican True
"Brian Mast" Republican True
"W. Steube" Republican True
"Matthew Cartwright" Democratic True
"Austin Scott" Republican True
"Roger Williams" Republican True
"Gregory Murphy" Republican True
"Mario Diaz-Balart" Republican True
"Frank Pallone" Democratic True
"Lois Frankel" Democratic True
"Van Taylor" Republican True
"Bob Gibbs" Republican True
"Eddie Johnson" Democratic True
"Bonnie Watson Coleman" Democratic True
"Ron Estes" Republican True
"Darin LaHood" Republican True
"Mo Brooks" Republican True
"Norma Torres" Democratic True
"Rick Larsen" Democratic True
"Cindy Hyde-Smith" Republican True
"Dwight Evans" Democratic True
"Troy Balderson" Republican True
"Andy Biggs" Republican True
"Michael Guest" Republican True
"Albio Sires" Democratic True
"Michael McCaul" Republican True
"Lauren Underwood" Democratic True
"Jahana Hayes" Democratic True
"Al Green" Democratic True
"Brian Fitzpatrick" Republican True
"Jim Hagedorn" Republican True
"Al Lawson" Democratic True
"James Clyburn" Democratic True
"Virginia Foxx" Republican True
"Michael Burgess" Republican True
"Trey Hollingsworth" Republican True
"Jared Golden" Democratic True
"Vicky Hartzler" Republican True
"Scott DesJarlais" Republican True
"Abby Finkenauer" Democratic True
"Joe Cunningham" Democratic True
"Tom Malinowski" Democratic True
"Antonio Delgado" Democratic True
"Dan Newhouse" Republican True
"J. Hill" Republican True
"Julia Brownley" Democratic True
"Darren Soto" Democratic True
"John Katko" Republican True
"Joe Neguse" Democratic True
"Jackie Walorski" Republican True
"Paul Tonko" Democratic True
"André Carson" Democratic True
"Louie Gohmert" Republican True
"Mike Garcia" Republican True
"Adam Kinzinger" Republican True
"Randy Weber" Republican True
"Maxine Waters" Democratic True
"Anthony Brindisi" Democratic True
"Ed Case" Democratic True
"Greg Pence" Republican True
"Susie Lee" Democratic True
"Doug Jones" Democratic True
"Denver Riggleman" Republican True
"Don Young" Republican True
"Jason Smith" Republican True
"Cory Gardner" Republican True
"Greg Stanton" Democratic True
"Glenn Grothman" Republican True
"David Trone" Democratic True
"Diana DeGette" Democratic True
"Sean Maloney" Democratic True
"Jeff Fortenberry" Republican True
"Mike Kelly" Republican True
"Doug LaMalfa" Republican True
"Mike Bost" Republican True
"John Yarmuth" Democratic True
"Theodore Deutch" Democratic True
"Max Rose" Democratic True
"Marc Veasey" Democratic True
"Jim Banks" Republican True
"George Butterfield" Democratic True
"Jim Costa" Democratic True
"Marcy Kaptur" Democratic True
"Bill Pascrell" Democratic True
"Bruce Westerman" Republican True
"Nydia Velázquez" Democratic True
"Zoe Lofgren" Democratic True
"Frank Lucas" Republican True
"Danny Davis" Democratic True
"Daniel Kildee" Democratic True
"Vern Buchanan" Republican True
"Cathy Rodgers" Republican True
"Carol Miller" Republican True
"Jerry McNerney" Democratic True
"Ann Kuster" Democratic True
"Jaime Herrera Beutler" Republican True
"Ruben Gallego" Democratic True
"Matt Gaetz" Republican True
"Barbara Lee" Democratic True
"Grace Napolitano" Democratic True
"Alan Grayson" Democratic True
"Mark Amodei" Republican True
"Ayanna Pressley" Democratic True
"Ro Khanna" Democratic True
"Joyce Beatty" Democratic True
"Frederica Wilson" Democratic True
"Jackie Speier" Democratic True
"Conor Lamb" Democratic True
"Tom Cole" Republican True
"Andy Kim" Democratic True
"Bennie Thompson" Democratic True
"Judy Chu" Democratic True
"Doris Matsui" Democratic True
"Debbie Wasserman Schultz" Democratic True
"Pete Sessions" Republican True
"John Rutherford" Republican True
"Joe Courtney" Democratic True
"Steve King" Republican True
"Steven Horsford" Democratic True
"Thomas Massie" Republican True
"Mike Thompson" Democratic True
"Robert Wittman" Republican True
"Gus Bilirakis" Republican True
"Tim Ryan" Democratic True
"Jeanne Shaheen" Democratic True
"Joni Ernst" Republican True
"Benjamin Sasse" Republican True
"Rick Allen" Republican True
"Ron Kind" Democratic True
"Richard Shelby" Republican True
"Luther Strange" Republican True
"Kirsten Gillibrand" Democratic True
"Trey Gowdy" Republican True
"Amy Klobuchar" Democratic True
"Bob Corker" Republican True
"Mark Begich" Democratic True
"Rick Scott" Republican True
"Eric Cantor" Republican True
"Jeff Flake" Republican True
"Kyrsten Sinema" Democratic True
"Benjamin Cardin" Democratic True
"Joe Manchin" Democratic True
"Ron Barber" Democratic True
"Harry Mitchell" Democratic True
"John Shadegg" Republican True
"Ron Johnson" Republican True
"Kamala Harris" Democratic True
"Chaka Fattah" Democratic True
"Katie Hill" Democratic True
"Deb Fischer" Republican True
"John Kennedy" Republican True
"Pat Roberts" Republican True
"Dianne Feinstein" Democratic True
"Maxine Waters" Democratic True
"Michael Honda" Democratic True
"David Valadao" Republican True
"Mark Kirk" Republican True
"Lois Capps" Democratic True
"Dennis Kucinich" Democratic True
"Brian Bilbray" Republican True
"Gary Miller" Republican True
"Joe Baca" Democratic True
"Gloria Negrete McLeod" Democratic True
"Dennis Cardoza" Democratic True
"Jerry Lewis" Republican True
"Michael Bennet" Democratic True
"Jared Polis" Democratic True
"Mike Coffman" Republican True
"Mark Udall" Democratic True
"Jared Polis" Democratic True
"Robert Portman" Republican True
"Tim Huelskamp" Republican True
"John Delaney" Democratic True
"J. Forbes" Republican True
"Christopher Murphy" Democratic True
"Richard Blumenthal" Democratic True
"Rosa DeLauro" Democratic True
"John Larson" Democratic True
"Christopher Murphy" Democratic True
"Charles Dent" Republican True
"Joseph Biden" Democratic True
"Thomas Carper" Democratic True
"John Carney" Democratic True
"Christopher Coons" Democratic True
"Barack Obama" Democratic True
"Donald Trump" Republican True
"John McCain" Republican True
"Patty Murray" Democratic True
"Bill Nelson" Democratic True
"Lisa Murkowski" Republican True
"Maria Cantwell" Democratic True
"Tammy Baldwin" Democratic True
"Debbie Stabenow" Democratic True
"Michael Crapo" Republican True
"John Boozman" Republican True
"Roger Wicker" Republican True
"James Lankford" Republican True
"John Isakson" Republican True
"Barbara Mikulski" Democratic True
"Stacey Plaskett" Democratic True
"John Conyers" Democratic True
"Tom Price" Republican True
"Eleanor Norton" Democratic True
"José Serrano" Democratic True
"David Vitter" Republican True
"Edward Royce" Republican True
"Charles Rangel" Democratic True
"Donna Edwards" Democratic True
"Kenny Marchant" Republican True
"Jeb Hensarling" Republican True
"Tom Graves" Republican True
"Christopher Dodd" Democratic True
"John Fleming" Republican True
"John Culberson" Republican True
"James Inhofe" Republican True
"Rob Woodall" Republican True
"Colleen Hanabusa" Democratic True
"Pete Olson" Republican True
"Ander Crenshaw" Republican True
"Rush Holt" Democratic True
"Mel Martinez" Republican True
"Judy Biggert" Republican True
"Clifford Stearns" Republican True
"James Oberstar" Democratic True
"Leonard Boswell" Democratic True
"Glenn Nye" Democratic True
"Aumua Amata Radewagen" Republican True
"Mark Takai" Democratic True
"William Enyart" Democratic True
"Jeffrey Chiesa" Republican True
"Daniel Lungren" Republican True
"George LeMieux" Republican True
"Marco Rubio" Republican True
"Ted Yoho" Republican True
"David Loebsack" Democratic True
"Thomas Rooney" Republican True
"Patrick Murphy" Democratic True
"Francis Rooney" Republican True
"Steve Southerland" Republican True
"David Jolly" Republican True
"Connie Mack" Republican True
"Richard Nugent" Republican True
"Sandy Adams" Republican True
"David Rivera" Republican True
"Curtis Clawson" Republican True
"Joe Garcia" Democratic True
"Ron Klein" Democratic True
"Spencer Bachus" Republican True
"Doug Collins" Republican True
"Michael San Nicolas" Democratic True
"Mazie Hirono" Democratic True
"Tulsi Gabbard" Democratic True
"Brian Schatz" Democratic True
"Neil Abercrombie" Democratic True
"Raúl Labrador" Republican True
"Tammy Duckworth" Democratic True
"John Shimkus" Republican True
"Peter Roskam" Republican True
"Randy Hultgren" Republican True
"Mark Kirk" Republican True
"Luis Gutiérrez" Democratic True
"Bob Dold" Republican True
"Timothy Johnson" Republican True
"Joe Donnelly" Democratic True
"Todd Young" Republican True
"Daniel Coats" Republican True
"Todd Rokita" Republican True
"Peter Visclosky" Democratic True
"Mike Braun" Republican True
"Charles Grassley" Republican True
"Thomas Harkin" Democratic True
"David Young" Republican True
"Rod Blum" Republican True
"Tom Latham" Republican True
"Jerry Moran" Republican True
"Rand Paul" Republican True
"Mitch McConnell" Republican True
"Ed Whitfield" Republican True
"Geoff Davis" Republican True
"Ralph Abraham" Republican True
"Mary Landrieu" Democratic True
"Bruce Poliquin" Republican True
"Olympia Snowe" Republican True
"Elijah Cummings" Democratic True
"Chris Van Hollen" Democratic True
"Elizabeth Warren" Democratic True
"Scott Brown" Republican True
"John Tierney" Democratic True
"William Cowan" Democratic True
"Carl Levin" Democratic True
"Sander Levin" Democratic True
"Candice Miller" Republican True
"Dan Benishek" Republican True
"Kerry Bentivolio" Republican True
"George Radanovich" Republican True
"Alan Franken" Democratic True
"Alan Franken" Democratic True
"Keith Ellison" Democratic True
"Timothy Walz" Democratic True
"Richard Nolan" Democratic True
"John Kline" Republican True
"Howard Berman" Democratic True
"Thad Cochran" Republican True
"Gregg Harper" Republican True
"Roger Wicker" Republican True
"Roy Blunt" Republican True
"Claire McCaskill" Democratic True
"Joshua Hawley" Republican True
"W. Akin" Republican True
"Jon Tester" Democratic True
"Jon Tester" Democratic True
"John Walsh" Democratic True
"Lee Terry" Republican True
"Brad Ashford" Democratic True
"Harry Reid" Democratic True
"Dean Heller" Republican True
"Catherine Cortez Masto" Democratic True
"Dean Heller" Republican True
"Jacky Rosen" Democratic True
"Ruben Kihuen" Democratic True
"Cresent Hardy" Republican True
"Margaret Hassan" Democratic True
"Kelly Ayotte" Republican True
"Carol Shea-Porter" Democratic True
"Frank Guinta" Republican True
"Charles Bass" Republican True
"Robert Menendez" Democratic True
"Leonard Lance" Republican True
"Tom MacArthur" Republican True
"Frank Lautenberg" Democratic True
"Scott Garrett" Republican True
"Martin Heinrich" Democratic True
"Tom Udall" Democratic True
"Charles Schumer" Democratic True
"Peter King" Republican True
"Steve Israel" Democratic True
"Charles Schumer" Democratic True
"Louise Slaughter" Democratic True
"Michael McMahon" Democratic True
"Richard Hanna" Republican True
"Kirsten Gillibrand" Democratic True
"Christopher Gibson" Republican True
"John Faso" Republican True
"Daniel Donovan" Republican True
"Claudia Tenney" Republican True
"Timothy Bishop" Democratic True
"William Owens" Democratic True
"Edolphus Towns" Democratic True
"Kathleen Hochul" Democratic True
"Gary Ackerman" Democratic True
"Robert Turner" Republican True
"Mark Meadows" Republican True
"Richard Burr" Republican True
"Mark Walker" Republican True
"Walter Jones" Republican True
"George Holding" Republican True
"Renee Ellmers" Republican True
"Robert Pittenger" Republican True
"Howard Coble" Republican True
"John Hoeven" Republican True
"Kevin Cramer" Republican True
"John Boehner" Republican True
"Sherrod Brown" Democratic True
"Robert Portman" Republican True
"James Renacci" Republican True
"Jim Bridenstine" Republican True
"Steve Russell" Republican True
"Mary Fallin" Republican True
"John Sullivan" Republican True
"Ron Wyden" Democratic True
"Greg Walden" Republican True
"Earl Blumenauer" Democratic True
"Robert Casey" Democratic True
"Patrick Toomey" Republican True
"Lou Barletta" Republican True
"Joe Sestak" Democratic True
"Michael Fitzpatrick" Republican True
"Keith Rothfus" Republican True
"Arlen Specter" Democratic True
"Patrick Meehan" Republican True
"Sheldon Whitehouse" Democratic True
"David Cicilline" Democratic True
"Tim Scott" Republican True
"Susan Brooks" Republican True
"Bob Inglis" Republican True
"Marshall Sanford" Republican True
"John Thune" Republican True
"John Thune" Republican True
"Tim Johnson" Democratic True
"Lamar Alexander" Republican True
