Name Party
"Ch  Collins" Republican
"Doug  Collins" Republican
"Su  Collins" Republican
"Jam  Comer" Republican
"Barb  Comstock" Republican
"K. Michael  Conaway" Republican
"Gerald E.  Connolly" Democratic
"K  Conrad" Democratic
"Jr.  John  Conyers" Democratic
"Paul  Cook" Republican
"Christoph  Coons" Democratic
"Jim  Cooper" Democratic
"Bob  Corker" Republican
"Joh  Cornyn" Republican
"J. Lu  Correa" Democratic
"Cath  Cortez Masto" Democratic
"Jim  Costa" Democratic
"Jerry F.  Costello" Democratic
"Ryan A.  Costello" Republican
"Tom  Cotton" Republican
"J  Courtney" Democratic
"William M.  Cowan" Democratic
"TJ  Cox" Democratic
"Ang  Craig" Democratic
"Larry E.  Craig" Republican
"K  Cramer" Republican
"Jr.  Robert E. (Bud)  Cramer" Democratic
"Mik  Crapo" Republican
"Ch  Cravaack" Republican
"Eric A. ""Rick""  Crawford" Republican
"And  Crenshaw" Republican
"D  Crenshaw" Republican
"Charl  Crist" Democratic
"Mark S.  Critz" Democratic
"Jas  Crow" Democratic
"Joseph  Crowley" Democratic
"Ted  Cruz" Republican
"Barb  Cubin" Republican
"Henry  Cuellar" Democratic
"John Abney  Culberson" Republican
"Elijah E.  Cummings" Democratic
"J  Cunningham" Democratic
"Carl  Curbelo" Republican
"David Al  Curson" Democratic
"John R.  Curtis" Republican
"Tony  Cárdenas" Democratic
"Kathleen A.  Dahlkemper" Democratic
Daines Republican
"Sharic  Davids" Democratic
"W  Davidson" Republican
"Artu  Davis" Democratic
"Danny K.  Davis" Democratic
"David  Davis" Republican
"Geoff  Davis" Republican
"Jo A  Davis" Republican
"Lincol  Davis" Democratic
"Rodney  Davis" Republican
"Susan A.  Davis" Democratic
"Tom  Davis" Republican
"Nath  Deal" Republican
"Madel  Dean" Democratic
"Peter A.  DeFazio" Democratic
"D  DeGette" Democratic
"Bill  Delahunt" Democratic
"John K.  Delaney" Democratic
"Rosa L.  DeLauro" Democratic
"Suzan K.  DelBene" Democratic
"Antoni  Delgado" Democratic
"Val Butl  Demings" Democratic
"Jim  DeMint" Republican
"Jeff  Denham" Republican
"Charles W.  Dent" Republican
"R  DeSantis" Republican
"Mark  DeSaulnier" Democratic
"Sc  DesJarlais" Republican
"Theodore E.  Deutch" Democratic
"Lincol  Diaz-Balart" Republican
"Mari  Diaz-Balart" Republican
"Norman D.  Dicks" Democratic
"Debb  Dingell" Democratic
"John D.  Dingell" Democratic
"Charles K.  Djou" Republican
"Christopher J.  Dodd" Democratic
"Lloyd  Doggett" Democratic
"Robert J.  Dold" Republican
"Elizabeth  Dole" Republican
"Pete V.  Domenici" Republican
"By  Donalds" Republican
"J  Donnelly" Democratic
"Jr.  Daniel M.  Donovan" Republican
"John T.  Doolittle" Republican
"Byron L.  Dorgan" Democratic
"Michael F.  Doyle" Democratic
"Thelma D.  Drake" Republican
"David  Dreier" Republican
Driehaus Democratic
"Tammy  Duckworth" Democratic
"Sean P.  Duffy" Republican
"Jeff  Duncan" Republican
"Jr.  John J.  Duncan" Republican
"Neal P.  Dunn" Republican
"Richard  Durbin" Democratic
"Ch  Edwards" Democratic
"Donna F.  Edwards" Democratic
"Vernon J.  Ehlers" Republican
"Keith  Ellison" Democratic
"Renee L.  Ellmers" Republican
"Brad  Ellsworth" Democratic
"Jak  Ellzey" Republican
"Rahm  Emanuel" Democratic
"Jo A  Emerson" Republican
"Tom  Emmer" Republican
"Eliot L.  Engel" Democratic
"Phil  English" Republican
"Joh  Ensign" Republican
"William L.  Enyart" Democratic
"Michael B.  Enzi" Republican
"J  Ernst" Republican
"Veronic  Escobar" Democratic
"Anna G.  Eshoo" Democratic
"Adri  Espaillat" Democratic
"R  Estes" Republican
"Elizabeth H.  Esty" Democratic
"Bob  Etheridge" Democratic
"Dwigh  Evans" Democratic
"Terry  Everett" Republican
"Eni F. H. Delegate Faleomavaega" Democratic
"Mary  Fallin" Republican
"P  Fallon" Republican
"Blak  Farenthold" Republican
"Sam  Farr" Democratic
"John J.  Faso" Republican
"Chak  Fattah" Democratic
"Tom  Feeney" Republican
"Randy  Feenstra" Republican
"Russell D.  Feingold" Democratic
"D  Feinstein" Democratic
"IV  A. Drew  Ferguson" Republican
"Mik  Ferguson" Republican
"Bob  Filner" Democratic
"Stephen L  Fincher" Republican
"Abby  Finkenauer" Democratic
"Michell  Fischbach" Republican
"Deb  Fischer" Republican
"Sc  Fitzgerald" Republican
"Brian K.  Fitzpatrick" Republican
"Michael G.  Fitzpatrick" Republican
"Jeff  Flake" Republican
"Charles J. ""Chuck""  Fleischmann" Republican
"Joh  Fleming" Republican
"Lizz  Fletcher" Democratic
"Bill  Flores" Republican
"J. Randy  Forbes" Republican
"Jeff  Fortenberry" Republican
"Luis G. dent Commissioner Fortuno" Republican
"Vi  Fossella" Republican
"Bill  Foster" Democratic
"Virg  Foxx" Republican
"Barney  Frank" Democratic
"L  Frankel" Democratic
"Al  Franken" Democratic
"C. Sc  Franklin" Republican
"T  Franks" Republican
"Rodney P.  Frelinghuysen" Republican
"Marcia L.  Fudge" Democratic
"Ru  Fulcher" Republican
"Tul  Gabbard" Democratic
"M  Gaetz" Republican
"Mik  Gallagher" Republican
"El  Gallegly" Republican
"Pete P.  Gallego" Democratic
"Rub  Gallego" Democratic
"Joh  Garamendi" Democratic
"Andrew R.  Garbarino" Republican
"Jesus G. ""Chuy""  Garcia" Democratic
"J  Garcia" Democratic
"Mik  Garcia" Republican
"Sylvia R.  Garcia" Democratic
"Cory  Gardner" Republican
"Sc  Garrett" Republican
"Jr.  Thomas A.  Garrett" Republican
"Jim  Gerlach" Republican
"Greg  Gianforte" Republican
"Bob  Gibbs" Republican
"Christopher P.  Gibson" Republican
"Gabriell  Giffords" Democratic
"Wayne T.  Gilchrest" Republican
"K  Gillibrand" Democratic
"Paul E.  Gillmor" Republican
"Carlos A.  Gimenez" Republican
"Phil  Gingrey" Republican
"Lou  Gohmert" Republican
"Jared F.  Golden" Democratic
"Jimmy  Gomez" Democratic
"Tony  Gonzales" Republican
"Anthony  Gonzalez" Republican
"Charles A.  Gonzalez" Democratic
"Vic  Gonzalez" Democratic
"Jenniff dent Commissioner González-Colón" Republican
"Bob  Good" Republican
"Jr.  Virgil H.  Goode" Republican
"Lanc  Gooden" Republican
"Bob  Goodlatte" Republican
"Carte Patrick  Goodwin" Democratic
"B  Gordon" Democratic
"Paul A.  Gosar" Republican
"Josh  Gottheimer" Democratic
"Trey  Gowdy" Republican
"Gw  Graham" Democratic
"Lindsey  Graham" Republican
"Kay  Granger" Republican
"Charl  Grassley" Republican
"G  Graves" Republican
"Sam  Graves" Republican
"Tom  Graves" Republican
"Al  Grayson" Democratic
"Al  Green" Democratic
"G  Green" Democratic
"Mark E.  Green" Republican
"Marjorie Tayl  Greene" Republican
"Judd  Gregg" Republican
"Tim  Griffin" Republican
"H. Morg  Griffith" Republican
"Park  Griffith" Republican
"Raúl M.  Grijalva" Democratic
"Michael G.  Grimm" Republican
"Gl  Grothman" Republican
"Michael  Guest" Republican
"Frank C.  Guinta" Republican
"B  Guthrie" Republican
"Luis V.  Gutierrez" Democratic
"Debra A.  Haaland" Democratic
"Kay R.  Hagan" Democratic
"Jim  Hagedorn" Republican
"Chuck  Hagel" Republican
"Bill  Hagerty" Republican
"Janic  Hahn" Democratic
"John J.  Hall" Democratic
"Kwanz  Hall" Democratic
"Ralph M.  Hall" Republican
"Deborah L.  Halvorson" Democratic
"Coll  Hanabusa" Democratic
"Karen C.  Handel" Republican
"Richard L.  Hanna" Republican
"Josh  Harder" Democratic
"C  Hardy" Republican
"Phil  Hare" Democratic
"Tom  Harkin" Democratic
"J  Harman" Democratic
"Gregg  Harper" Republican
"Andy  Harris" Republican
"Kamala D.  Harris" Democratic
"D  Harshbarger" Republican
"Vicky  Hartzler" Republican
"Magg  Hassan" Democratic
"J. D  Hastert" Republican
"Alcee L.  Hastings" Democratic
"Doc  Hastings" Republican
"Orrin G.  Hatch" Republican
"Josh  Hawley" Republican
"Jah  Hayes" Democratic
"Rob  Hayes" Republican
"Nan A. S.  Hayworth" Republican
"Denny  Heck" Democratic
"Joseph J.  Heck" Republican
"M  Heinrich" Democratic
"Heid  Heitkamp" Democratic
"D  Heller" Republican
"Jeb  Hensarling" Republican
"Wally  Herger" Republican
"K  Hern" Republican
"Y  Herrell" Republican
"Jaim  Herrera Beutler" Republican
"Steph  Herseth Sandlin" Democratic
"Jody B.  Hice" Republican
"Joh  Hickenlooper" Democratic
"B  Higgins" Democratic
"Clay  Higgins" Republican
"Baron P.  Hill" Democratic
"J. French  Hill" Republican
"K  Hill" Democratic
"James A.  Himes" Democratic
"Maurice D.  Hinchey" Democratic
"Rub  Hinojosa" Democratic
"Ashley  Hinson" Republican
"Maz  Hirono" Democratic
"David L.  Hobson" Republican
"Kathleen C.  Hochul" Democratic
"Paul W.  Hodes" Democratic
"P  Hoekstra" Republican
"Joh  Hoeven" Republican
"Tim  Holden" Democratic
"Georg  Holding" Republican
"Trey  Hollingsworth" Republican
"Rush  Holt" Democratic
"Michael M.  Honda" Democratic
"Darl  Hooley" Democratic
"Kendra S.  Horn" Democratic
Horsford Democratic
"Chrissy  Houlahan" Democratic
"Steny H.  Hoyer" Democratic
"Richard  Hudson" Republican
"Tim  Huelskamp" Republican
"Jared  Huffman" Democratic
"Bill  Huizenga" Republican
"Kenny C.  Hulshof" Republican
"Randy  Hultgren" Republican
"Dunc  Hunter" Republican
"Duncan D.  Hunter" Republican
"Will  Hurd" Republican
"Rob  Hurt" Republican
"Kay Bailey  Hutchison" Republican
"Cindy  Hyde-Smith" Republican
"Bob  Inglis" Republican
"Jim  Inhofe" Republican
"Daniel K.  Inouye" Democratic
"Jay  Inslee" Democratic
"Johnny  Isakson" Republican
Israel Democratic
"Darrell E.  Issa" Republican
"Sheil  Jackson Lee" Democratic
"Jr.  Jesse L.  Jackson" Democratic
"Ronny  Jackson" Republican
"Ch  Jacobs" Republican
Jacobs Democratic
"Pramil  Jayapal" Democratic
"William J.  Jefferson" Democratic
"Hakeem S.  Jeffries" Democratic
"Evan H.  Jenkins" Republican
"Ly  Jenkins" Republican
"Bobby  Jindal" Republican
"Mik  Johanns" Republican
"Bill  Johnson" Republican
"Dusty  Johnson" Republican
"Eddie Bernic  Johnson" Democratic
""" Jr.  Henry C. ""Hank  Johnson" Democratic
"Mik  Johnson" Republican
"R  Johnson" Republican
"Sam  Johnson" Republican
"Tim  Johnson" Democratic
"Timothy V.  Johnson" Republican
"David W.  Jolly" Republican
"Brend  Jones" Democratic
"Doug  Jones" Democratic
"Mond  Jones" Democratic
"Stephanie Tubb  Jones" Democratic
"Jr.  Walter B.  Jones" Republican
"Jim  Jordan" Republican
"David P.  Joyce" Republican
"Joh  Joyce" Republican
Kagen Democratic
"Kaiali'  Kahele" Democratic
"Timothy  Kaine" Democratic
"Paul E.  Kanjorski" Democratic
"Marcy  Kaptur" Democratic
"Joh  Katko" Republican
"Edward E.  Kaufman" Democratic
"William R.  Keating" Democratic
"Fred  Keller" Republican
"Ric  Keller" Republican
"Mark  Kelly" Democratic
"Mik  Kelly" Republican
"Robin L.  Kelly" Democratic
"T  Kelly" Republican
"Edward M.  Kennedy" Democratic
"Joh  Kennedy" Republican
"III  Joseph P.  Kennedy" Democratic
"Patrick J.  Kennedy" Democratic
"John F.  Kerry" Democratic
"R  Khanna" Democratic
"Ruben J.  Kihuen" Democratic
"Dale E.  Kildee" Democratic
"Daniel T.  Kildee" Democratic
"Derek  Kilmer" Democratic
"Carolyn C.  Kilpatrick" Democratic
"Mary J  Kilroy" Democratic
"Andy  Kim" Democratic
"Young  Kim" Republican
"R  Kind" Democratic
"Angu  King" Independent
"Peter T.  King" Republican
King Republican
"Jack  Kingston" Republican
"Adam  Kinzinger" Republican
"Mark   Kirk" Republican
"Jr.  Paul Grattan  Kirk" Democratic
"A  Kirkpatrick" Democratic
"Larry  Kissell" Democratic
"R  Klein" Democratic
"Joh  Kline" Republican
"Amy  Klobuchar" Democratic
"Steph  Knight" Republican
"J  Knollenberg" Republican
"Herb  Kohl" Democratic
"Suzanne M.  Kosmas" Democratic
"Jr.  Frank  Kratovil" Democratic
"Raj  Krishnamoorthi" Democratic
"Dennis J.  Kucinich" Democratic
"Jr.  John R. ""Randy""  Kuhl" Republican
"Ann M.  Kuster" Democratic
"David  Kustoff" Republican
"J  Kyl" Republican
"Raul R.  Labrador" Republican
"D  LaHood" Republican
"Ray  LaHood" Republican
"Doug  LaMalfa" Republican
"C  Lamb" Democratic
"Doug  Lamborn" Republican
"Nick  Lampson" Democratic
"Leonard  Lance" Republican
"Mary L.  Landrieu" Democratic
"Jeffrey M.  Landry" Republican
"James R.  Langevin" Democratic
"Jam  Lankford" Republican
"Tom  Lantos" Democratic
"Rick  Larsen" Democratic
"John B.  Larson" Democratic
"Tom  Latham" Republican
"Steven C.  LaTourette" Republican
"Robert E.  Latta" Republican
"Jak  LaTurner" Republican
"Frank R.  Lautenberg" Democratic
"Brenda L.  Lawrence" Democratic
"Jr.  Al  Lawson" Democratic
"Patrick  Leahy" Democratic
"Barb  Lee" Democratic
"Christopher J.  Lee" Republican
"Mik  Lee" Republican
"Su  Lee" Democratic
"T  Leger Fernandez" Democratic
"George S.  LeMieux" Republican
"Debb  Lesko" Republican
"Jul  Letlow" Republican
"Andy  Levin" Democratic
"Carl  Levin" Democratic
"Mik  Levin" Democratic
"Sander M.  Levin" Democratic
"Jas  Lewis" Republican
"Jerry  Lewis" Republican
"Joh  Lewis" Democratic
"R  Lewis" Republican
"Joseph I.  Lieberman" "Independent Democrat"
"Ted  Lieu" Democratic
"Blanche L.  Lincoln" Democratic
"Joh  Linder" Republican
"Daniel  Lipinski" Democratic
"Frank A.  LoBiondo" Republican
"David  Loebsack" Democratic
"Kelly  Loeffler" Republican
"Z  Lofgren" Democratic
"Billy  Long" Republican
"T  Lott" Republican
"Barry  Loudermilk" Republican
"Mia B.  Love" Republican
"Alan S.  Lowenthal" Democratic
"Nita M.  Lowey" Democratic
"Frank D.  Lucas" Republican
"Bl  Luetkemeyer" Republican
"Richard G.  Lugar" Republican
"Michell  Lujan Grisham" Democratic
"B  Lujan" Democratic
"Cynth  Lummis" Republican
"Daniel E.  Lungren" Republican
"Elaine G.  Luria" Democratic
"Stephen F.  Lynch" Democratic
"Thom  MacArthur" Republican
"Nancy  Mace" Republican
"C  Mack" Republican
"Daniel B.  Maffei" Democratic
"Tim  Mahoney" Democratic
"Tom  Malinowski" Democratic
"Nicol  Malliotakis" Republican
"Carolyn B.  Maloney" Democratic
"Sean Patrick  Maloney" Democratic
"Joseph  Manchin" Democratic
"Tracey  Mann" Republican
"Kathy E.  Manning" Democratic
"Donald A.  Manzullo" Republican
"Kenny  Marchant" Republican
"Tom  Marino" Republican
"Betsy  Markey" Democratic
"Edward  Markey" Democratic
"Jim  Marshall" Democratic
"Rog  Marshall" Republican
"Mel  Martinez" Republican
"Eric J. J.  Massa" Democratic
"Thom  Massie" Republican
"Brian J.  Mast" Republican
"Jim  Matheson" Democratic
"Doris O.  Matsui" Democratic
"B  McAdams" Democratic
"Vance M.  McAllister" Republican
"Lucy  McBath" Democratic
"Joh  McCain" Republican
"Caroly  McCarthy" Democratic
"K  McCarthy" Republican
"Cl  McCaskill" Democratic
"Michael T.  McCaul" Republican
"Lisa C.  McClain" Republican
"Tom  McClintock" Republican
"Betty  McCollum" Democratic
"Mitch  McConnell" Republican
"Thaddeus G.  McCotter" Republican
"Jim  McCrery" Republican
"Jim  McDermott" Democratic
"A. Donald  McEachin" Democratic
"James P.  McGovern" Democratic
"Patrick T.  McHenry" Republican
"John M.  McHugh" Republican
"Mik  McIntyre" Democratic
"Howard P. ""Buck""  McKeon" Republican
"David B.  McKinley" Republican
"Michael E.  McMahon" Democratic
"Cathy  McMorris Rodgers" Republican
"Jerry  McNerney" Democratic
"Michael R.  McNulty" Democratic
"Marth  McSally" Republican
"Mark  Meadows" Republican
"Martin T.  Meehan" Democratic
"Patrick  Meehan" Republican
"Kendrick B.  Meek" Democratic
"Gregory W.  Meeks" Democratic
"P  Meijer" Republican
"Charl  Melancon" Democratic
"Rob  Menendez" Democratic
"Grac  Meng" Democratic
"Jeff  Merkley" Democratic
"Luk  Messer" Republican
"Daniel  Meuser" Republican
"Kw  Mfume" Democratic
"John L.  Mica" Republican
"Michael H.  Michaud" Democratic
"Barbara A.  Mikulski" Democratic
"Ju  Millender-McDonald" Democratic
"Brad  Miller" Democratic
"Candice S.  Miller" Republican
"Carol D.  Miller" Republican
"Gary G.  Miller" Republican
"Georg  Miller" Democratic
"Jeff  Miller" Republican
"Mary E.  Miller" Republican
"M  Miller-Meeks" Republican
"Wal  Minnick" Democratic
"Harry E.  Mitchell" Democratic
"Paul  Mitchell" Independent
"Alan B.  Mollohan" Democratic
"John R.  Moolenaar" Republican
"Alexander X.  Mooney" Republican
"Barry  Moore" Republican
"Blake D.  Moore" Republican
"D  Moore" Democratic
"Gw  Moore" Democratic
"James P.  Moran" Democratic
"Jerry  Moran" Republican
"Joseph D.  Morelle" Democratic
"Seth  Moulton" Democratic
"Frank J.  Mrvan" Democratic
"Debb  Mucarsel-Powell" Democratic
"Markway  Mullin" Republican
"Mick  Mulvaney" Republican
"L  Murkowski" Republican
"Christoph  Murphy" Democratic
"Gregory  Murphy" Republican
"Patrick  Murphy" Democratic
"Patrick J.  Murphy" Democratic
"Sc  Murphy" Democratic
"Stephanie N.  Murphy" Democratic
"Tim  Murphy" Republican
"Patty  Murray" Democratic
"John P.  Murtha" Democratic
"Marilyn N.  Musgrave" Republican
"Sue Wilk  Myrick" Republican
"Jerrold  Nadler" Democratic
"Grace F.  Napolitano" Democratic
"Richard E.  Neal" Democratic
"Gl  Negrete McLeod" Democratic
"J  Neguse" Democratic
"Troy E.  Nehls" Republican
"B  Nelson" Democratic
"Bill  Nelson" Democratic
"Randy  Neugebauer" Republican
"D  Newhouse" Republican
"M  Newman" Democratic
"Kristi L.  Noem" Republican
"Richard M.  Nolan" Democratic
"Donald  Norcross" Democratic
"Ralph  Norman" Republican
"Eleanor Holm Delegate Norton" Democratic
"Charles W.  Norwood" Republican
"Richard B.  Nugent" Republican
"D  Nunes" Republican
"Al  Nunnelee" Republican
"Glenn C.  Nye" Democratic
"Tom  O'Halleran" Democratic
"B  O'Rourke" Democratic
"Barack  Obama" Democratic
"Jay  Obernolte" Republican
"James L.  Oberstar" Democratic
"David R.  Obey" Democratic
"Alexand  Ocasio-Cortez" Democratic
"P  Olson" Republican
"John W.  Olver" Democratic
"Ilh  Omar" Democratic
"Solomon P.  Ortiz" Democratic
"J  Ossoff" Democratic
"Burg  Owens" Republican
"William L.  Owens" Democratic
"Alex  Padilla" Democratic
"Steven M.  Palazzo" Republican
"Jr.  Frank  Pallone" Democratic
"Gary J.  Palmer" Republican
"Jimmy  Panetta" Democratic
"Ch  Pappas" Democratic
"Jr.  Bill  Pascrell" Democratic
"Ed  Pastor" Democratic
"Rand  Paul" Republican
"R  Paul" Republican
"Erik  Paulsen" Republican
"Donald M.  Payne" Democratic
"Jr.  Donald M.  Payne" Democratic
Pearce Republican
"Nancy  Pelosi" Democratic
"Greg  Pence" Republican
"Mik  Pence" Republican
"David  Perdue" Republican
"Ed  Perlmutter" Democratic
"Thomas S.P.  Perriello" Democratic
"Sc  Perry" Republican
"Gary  Peters" Democratic
"Scott H.  Peters" Democratic
"Collin C.  Peterson" Democratic
"John E.  Peterson" Republican
"Thomas E.  Petri" Republican
"Augu  Pfluger" Republican
"D  Phillips" Democratic
"Charles W. ""Chip""  Pickering" Republican
"Pedro R. dent Commissioner Pierluisi" Democratic
"Chell  Pingree" Democratic
"Rob  Pittenger" Republican
"Joseph R.  Pitts" Republican
"Stacey E. Delegate Plaskett" Democratic
"Todd Russell  Platts" Republican
"Mark  Pocan" Democratic
"Ted  Poe" Republican
"Bruc  Poliquin" Republican
"Jared  Polis" Democratic
"Earl  Pomeroy" Democratic
"Mik  Pompeo" Republican
"Jon C.  Porter" Republican
"K  Porter" Democratic
"Rob  Portman" Republican
"Bill  Posey" Republican
"Ay  Pressley" Democratic
"David E.  Price" Democratic
"Tom  Price" Republican
"Deborah  Pryce" Republican
"Mark L.  Pryor" Democratic
"Adam H.  Putnam" Republican
"Benjam  Quayle" Republican
"Mik  Quigley" Democratic
"Georg  Radanovich" Republican
"Trey  Radel" Republican
"Aumua Amata Colem Delegate Radewagen" Republican
"II  Nick J.  Rahall" Democratic
"Jim  Ramstad" Republican
"Charles B.  Rangel" Democratic
"Jam  Raskin" Democratic
"Joh  Ratcliffe" Republican
"Jack  Reed" Democratic
"Tom  Reed" Republican
"Ralph  Regula" Republican
"Denny  Rehberg" Republican
"David G.  Reichert" Republican
"Harry  Reid" Democratic
"James B.  Renacci" Republican
"Rick  Renzi" Republican
"Guy  Reschenthaler" Republican
"Sil  Reyes" Democratic
"Thomas M.  Reynolds" Republican
"Reid J.  Ribble" Republican
"Kathleen M.  Rice" Democratic
"Tom  Rice" Republican
"Lau  Richardson" Democratic
"Cedric L.  Richmond" Democratic
"E. Sc  Rigell" Republican
"D  Riggleman" Republican
"Jam  Risch" Republican
"David  Rivera" Republican
"P  Roberts" Republican
"Marth  Roby" Republican
"IV  John D.  Rockefeller" Democratic
"Ciro D.  Rodriguez" Democratic
"David P.  Roe" Republican
"Harold  Rogers" Republican
"Mike D.  Rogers" Republican
