Name Party
"Mike J.  Rogers" Republican
"D  Rohrabacher" Republican
"Todd  Rokita" Republican
"M  Romney" Republican
"Franc  Rooney" Republican
"Thomas J.  Rooney" Republican
"Il  Ros-Lehtinen" Republican
"John W.  Rose" Republican
"Max  Rose" Democratic
"Jackly  Rosen" Democratic
"Matthew M.  Rosendale Sr." Republican
"Peter J.  Roskam" Republican
"Deborah K.  Ross" Democratic
"Dennis A.  Ross" Republican
"Mik  Ross" Democratic
"Keith J.  Rothfus" Republican
"Steven R.  Rothman" Democratic
"Harley  Rouda" Democratic
"Mik  Rounds" Republican
"David  Rouzer" Republican
"Ch  Roy" Republican
"Lucill  Roybal-Allard" Democratic
"Edward R.  Royce" Republican
"Marc  Rubio" Republican
"Raul  Ruiz" Democratic
"J  Runyan" Republican
"C. A. Dutch  Ruppersberger" Democratic
"Bobby L.  Rush" Democratic
Russell Republican
"John H.  Rutherford" Republican
"Paul D.  Ryan" Republican
"Tim  Ryan" Democratic
"Gregorio Kilili Camach Delegate Sablan" Democratic
"John T.  Salazar" Democratic
"K  Salazar" Democratic
"Maria El  Salazar" Republican
"Bill  Sali" Republican
"M  Salmon" Republican
"Michael F. Q. Delegate San Nicolas" Democratic
"L  Sanchez" Democratic
"Bernard  Sanders" Independent
"Mark  Sanford" Republican
"John P.  Sarbanes" Democratic
"B  Sasse" Republican
"Jim  Saxton" Republican
Scalise Republican
"Mary Gay  Scanlon" Democratic
"Janice D.  Schakowsky" Democratic
"B  Schatz" Democratic
"Mark H.  Schauer" Democratic
"Adam B.  Schiff" Democratic
"Robert T.  Schilling" Republican
"J  Schmidt" Republican
"Bradley Sc  Schneider" Democratic
"A  Schock" Republican
"Ku  Schrader" Democratic
"Kim  Schrier" Democratic
"Charl  Schumer" Democratic
"Allyson Y.  Schwartz" Democratic
"David  Schweikert" Republican
"Au  Scott" Republican
"David  Scott" Democratic
"Rick  Scott" Republican
"Robert C. ""Bobby""  Scott" Democratic
"Tim  Scott" Republican
"Jr.  F. James  Sensenbrenner" Republican
"Jose E.  Serrano" Democratic
"Jeff  Sessions" Republican
"P  Sessions" Republican
"J  Sestak" Democratic
"Terri A.  Sewell" Democratic
"John B.  Shadegg" Republican
"J  Shaheen" Democratic
"Donna E.  Shalala" Democratic
"Christoph  Shays" Republican
"Carol  Shea-Porter" Democratic
"Richard  Shelby" Republican
"Brad  Sherman" Democratic
"Mik  Sherrill" Democratic
"Joh  Shimkus" Republican
"Heath  Shuler" Democratic
"Bill  Shuster" Republican
"Michael K.  Simpson" Republican
"Ky  Sinema" Democratic
"Albi  Sires" Democratic
"Ik  Skelton" Democratic
"Louise McIntosh  Slaughter" Democratic
"El  Slotkin" Democratic
"Adam  Smith" Democratic
"Ad  Smith" Republican
"Christopher H.  Smith" Republican
"Gordon H.  Smith" Republican
"Jas  Smith" Republican
"Lam  Smith" Republican
"T  Smith" Democratic
"Lloyd  Smucker" Republican
"Olympia J.  Snowe" Republican
"Vic  Snyder" Democratic
"Hilda L.  Solis" Democratic
"D  Soto" Democratic
"Mark E.  Souder" Republican
"Steve II  Southerland" Republican
"Zachary T.  Space" Democratic
"Abigail D  Spanberger" Democratic
"R  Spano" Republican
"Vic  Spartz" Republican
"Arl  Specter" Democratic
"Jack  Speier" Democratic
"Jr.  John M.  Spratt" Democratic
"Debb  Stabenow" Democratic
"Melanie A  Stansbury" Democratic
"Greg  Stanton" Democratic
"Fortney P  Stark" Democratic
"P  Stauber" Republican
"Cliff  Stearns" Republican
"Michell  Steel" Republican
"Elise M.  Stefanik" Republican
"Bry  Steil" Republican
"W. Gregory  Steube" Republican
"Haley M.  Stevens" Democratic
"Ted  Stevens" Republican
"Ch  Stewart" Republican
Stivers Republican
Stockman Republican
"Luth  Strange" Republican
"Marily  Strickland" Democratic
"B  Stupak" Democratic
"Marlin A.  Stutzman" Republican
"D  Sullivan" Republican
"Joh  Sullivan" Republican
"John E.  Sununu" Republican
"Thomas R.  Suozzi" Democratic
"Betty  Sutton" Democratic
"Eric  Swalwell" Democratic
"Linda T.  Sánchez" Democratic
"Mark  Takai" Democratic
"Mark  Takano" Democratic
"Thomas G.  Tancredo" Republican
"John S.  Tanner" Democratic
"Ellen O.  Tauscher" Democratic
"G  Taylor" Democratic
"Sc  Taylor" Republican
"V  Taylor" Republican
"Harry  Teague" Democratic
"Claud  Tenney" Republican
"L  Terry" Republican
"J  Tester" Democratic
"Craig  Thomas" Republican
"Bennie G.  Thompson" Democratic
"Gl  Thompson" Republican
"Mik  Thompson" Democratic
"Mac  Thornberry" Republican
"Joh  Thune" Republican
"Todd  Tiahrt" Republican
"Patrick J.  Tiberi" Republican
"John F.  Tierney" Democratic
"Thomas P.  Tiffany" Republican
"Thom  Tillis" Republican
"William R. IV  Timmons" Republican
"Scott R.  Tipton" Republican
"D  Titus" Democratic
"Rashid  Tlaib" Democratic
"Paul  Tonko" Democratic
"Patrick  Toomey" Republican
"Xochitl  Torres Small" Democratic
"Norma J.  Torres" Democratic
"Ritch  Torres" Democratic
"Edolphu  Towns" Democratic
"L  Trahan" Democratic
"David J.  Trone" Democratic
"David A.  Trott" Republican
"Nik  Tsongas" Democratic
"Tommy  Tuberville" Republican
"Michael R.  Turner" Republican
"Robert L.  Turner" Republican
"Mark  Udall" Democratic
"Tom  Udall" Democratic
"Lau  Underwood" Democratic
"Fred  Upton" Republican
"David G.  Valadao" Republican
"Jeffers  Van Drew" Republican
"Beth  Van Duyne" Republican
"Ch  Van Hollen" Democratic
"Ju  Vargas" Democratic
"Marc A.  Veasey" Democratic
"Filem  Vela" Democratic
"Nydia M.  Velazquez" Democratic
"Peter J.  Visclosky" Democratic
"David  Vitter" Republican
"George V.  Voinovich" Republican
"A  Wagner" Republican
"Tim  Walberg" Republican
"Greg  Walden" Republican
"Mark  Walker" Republican
"Jack  Walorski" Republican
"James T.  Walsh" Republican
"J  Walsh" Republican
"John E.  Walsh" Democratic
"Mim  Walters" Republican
"Michael  Waltz" Republican
"Timothy J.  Walz" Democratic
"Zach  Wamp" Republican
"Joh  Warner" Republican
"Mark  Warner" Democratic
"Raphael  Warnock" Democratic
"Elizabeth  Warren" Democratic
"Debb  Wasserman Schultz" Democratic
"Max  Waters" Democratic
Watkins Republican
"B  Watson Coleman" Democratic
"Diane E.  Watson" Democratic
"Melvin L.  Watt" Democratic
"Henry A.  Waxman" Democratic
"Jim  Webb" Democratic
"Sr.  Randy K.  Weber" Republican
"Daniel  Webster" Republican
"Anthony D.  Weiner" Democratic
"P  Welch" Democratic
"D  Weldon" Republican
"Jerry  Weller" Republican
"Brad R.  Wenstrup" Republican
"Allen B.  West" Republican
"Bruc  Westerman" Republican
"Lynn A.  Westmoreland" Republican
"Rob  Wexler" Democratic
"Jennif  Wexton" Democratic
"Sheld  Whitehouse" Democratic
"Ed  Whitfield" Republican
"Rog  Wicker" Republican
"Su  Wild" Democratic
"Nikem  Williams" Democratic
"Rog  Williams" Republican
"Charles A.  Wilson" Democratic
"Frederica S.  Wilson" Democratic
"Heath  Wilson" Republican
"J  Wilson" Republican
"Robert J.  Wittman" Republican
"Frank R.  Wolf" Republican
Womack Republican
"Rob  Woodall" Republican
"Lynn C.  Woolsey" Democratic
"R  Wright" Republican
"David  Wu" Democratic
"R  Wyden" Democratic
"Albert Russell  Wynn" Democratic
"John A.  Yarmuth" Democratic
"K  Yoder" Republican
"Ted S.  Yoho" Republican
"C. W. Bill  Young" Republican
"David  Young" Republican
"D  Young" Republican
"Todd  Young" Republican
"Lee M.  Zeldin" Republican
"Ryan K.  Zinke" Republican
